starttime,tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,start_date,start_time,end_date,end_time,tripduration_minutes,ride_type,age,start_weekday
2019-12-15 12:00:00.478,132,2019-12-15 12:00:00.478,2019-12-15 12:02:12.712,3788,E 12 St & 4 Av,40.732690000000005,-73.98974,497,E 17 St & Broadway,40.73704984,-73.99009296,28763,Subscriber,1992,1,2019-12-15 00:00:00.000,12:00:00.4780,2019-12-15 00:00:00.000,12:02:12.7120,2,journey,27,Sunday
2019-12-15 12:00:01.034,1054,2019-12-15 12:00:01.034,2019-12-15 12:17:35.817,259,South St & Whitehall St,40.70122128,-74.01234218,502,Henry St & Grand St,40.714211,-73.981095,31950,Subscriber,1975,2,2019-12-15 00:00:00.000,12:00:01.0340,2019-12-15 00:00:00.000,12:17:35.8170,18,journey,44,Sunday
2019-12-15 12:00:01.748,631,2019-12-15 12:00:01.748,2019-12-15 12:10:33.213,3656,E 2 St & Avenue A,40.72307749068673,-73.98583620786667,497,E 17 St & Broadway,40.73704984,-73.99009296,40425,Subscriber,1997,2,2019-12-15 00:00:00.000,12:00:01.7480,2019-12-15 00:00:00.000,12:10:33.2130,11,journey,22,Sunday
2019-12-15 12:00:03.794,1318,2019-12-15 12:00:03.794,2019-12-15 12:22:02.238,435,W 21 St & 6 Ave,40.74173969,-73.99415556,249,Harrison St & Hudson St,40.71870987,-74.0090009,38786,Subscriber,1993,2,2019-12-15 00:00:00.000,12:00:03.7940,2019-12-15 00:00:00.000,12:22:02.2380,22,journey,26,Sunday
2019-12-15 12:00:04.327,475,2019-12-15 12:00:04.327,2019-12-15 12:07:59.607,3283,W 89 St & Columbus Ave,40.7882213,-73.97041561,3145,E 84 St & Park Ave,40.77862688,-73.95772073,30799,Subscriber,1996,2,2019-12-15 00:00:00.000,12:00:04.3270,2019-12-15 00:00:00.000,12:07:59.6070,8,journey,23,Sunday
2019-12-15 12:00:05.544,235,2019-12-15 12:00:05.544,2019-12-15 12:04:00.769,3376,E 65 St & 2 Ave,40.76471851944339,-73.96222069859505,3142,1 Ave & E 62 St,40.761227399999996,-73.96094022,41073,Subscriber,1981,1,2019-12-15 00:00:00.000,12:00:05.5440,2019-12-15 00:00:00.000,12:04:00.7690,4,journey,38,Sunday
2019-12-15 12:00:06.734,347,2019-12-15 12:00:06.734,2019-12-15 12:05:54.140,3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,3856,Kingsland Ave & Nassau Ave,40.725770000000004,-73.94173,38887,Subscriber,1977,2,2019-12-15 00:00:00.000,12:00:06.7340,2019-12-15 00:00:00.000,12:05:54.1400,6,journey,42,Sunday
2019-12-15 12:00:07.507,573,2019-12-15 12:00:07.507,2019-12-15 12:09:41.324,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,439,E 4 St & 2 Ave,40.726280700000004,-73.98978041,19177,Subscriber,1988,1,2019-12-15 00:00:00.000,12:00:07.5070,2019-12-15 00:00:00.000,12:09:41.3240,10,journey,31,Sunday
2019-12-15 12:00:07.575,339,2019-12-15 12:00:07.575,2019-12-15 12:05:46.872,459,W 20 St & 11 Ave,40.746745000000004,-74.007756,3255,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,35016,Subscriber,1998,1,2019-12-15 00:00:00.000,12:00:07.5750,2019-12-15 00:00:00.000,12:05:46.8720,6,journey,21,Sunday
2019-12-15 12:00:08.565,178,2019-12-15 12:00:08.565,2019-12-15 12:03:06.599,526,E 33 St & 5 Ave,40.74765947,-73.98490707,3799,6 Ave & W 34 St,40.74964,-73.98805,34031,Customer,1996,1,2019-12-15 00:00:00.000,12:00:08.5650,2019-12-15 00:00:00.000,12:03:06.5990,3,journey,23,Sunday
2019-12-15 12:00:09.879,567,2019-12-15 12:00:09.879,2019-12-15 12:09:37.106,499,Broadway & W 60 St,40.76915505,-73.98191841,3236,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643187,30699,Subscriber,1980,1,2019-12-15 00:00:00.000,12:00:09.8790,2019-12-15 00:00:00.000,12:09:37.1060,9,journey,39,Sunday
2019-12-15 12:00:10.315,330,2019-12-15 12:00:10.315,2019-12-15 12:05:41.032,3846,Central Ave & Himrod St,40.69676,-73.92302,3780,Wyckoff Av & Stanhope St,40.703545,-73.917775,38859,Subscriber,1989,1,2019-12-15 00:00:00.000,12:00:10.3150,2019-12-15 00:00:00.000,12:05:41.0320,6,journey,30,Sunday
2019-12-15 12:00:11.604,552,2019-12-15 12:00:11.604,2019-12-15 12:09:23.751,3586,34 Ave & 13 St,40.763875299999995,-73.9364848,3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,33090,Subscriber,1995,2,2019-12-15 00:00:00.000,12:00:11.6040,2019-12-15 00:00:00.000,12:09:23.7510,9,journey,24,Sunday
2019-12-15 12:00:12.857,95,2019-12-15 12:00:12.857,2019-12-15 12:01:48.139,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,20105,Subscriber,1993,1,2019-12-15 00:00:00.000,12:00:12.8570,2019-12-15 00:00:00.000,12:01:48.1390,2,journey,26,Sunday
2019-12-15 12:00:13.722,193,2019-12-15 12:00:13.722,2019-12-15 12:03:26.919,468,Broadway & W 56 St,40.7652654,-73.98192338,3699,W 50 St & 9 Ave,40.76360467795863,-73.98917958140373,17057,Subscriber,1993,1,2019-12-15 00:00:00.000,12:00:13.7220,2019-12-15 00:00:00.000,12:03:26.9190,3,journey,26,Sunday
2019-12-15 12:00:14.297,366,2019-12-15 12:00:14.297,2019-12-15 12:06:20.766,3641,Broadway & W 25 St,40.74286877312112,-73.98918628692627,496,E 16 St & 5 Ave,40.73726186,-73.99238967,28777,Subscriber,1950,1,2019-12-15 00:00:00.000,12:00:14.2970,2019-12-15 00:00:00.000,12:06:20.7660,6,journey,69,Sunday
2019-12-15 12:00:16.883,171,2019-12-15 12:00:16.883,2019-12-15 12:03:08.350,464,E 56 St & 3 Ave,40.75934501,-73.96759673,3815,E 51 St & 2 Ave,40.755293,-73.967641,39054,Subscriber,1975,1,2019-12-15 00:00:00.000,12:00:16.8830,2019-12-15 00:00:00.000,12:03:08.3500,3,journey,44,Sunday
2019-12-15 12:00:20.571,1011,2019-12-15 12:00:20.571,2019-12-15 12:17:12.448,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,33291,Subscriber,1996,2,2019-12-15 00:00:00.000,12:00:20.5710,2019-12-15 00:00:00.000,12:17:12.4480,17,journey,23,Sunday
2019-12-15 12:00:22.817,720,2019-12-15 12:00:22.817,2019-12-15 12:12:23.073,3520,Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475,3425,2 Ave & E 104 St,40.789210499999996,-73.94370784,41735,Customer,1989,1,2019-12-15 00:00:00.000,12:00:22.8170,2019-12-15 00:00:00.000,12:12:23.0730,12,journey,30,Sunday
2019-12-15 12:00:23.875,2198,2019-12-15 12:00:23.875,2019-12-15 12:37:02.077,3042,Fulton St & Utica Ave,40.6794268,-73.92989109999999,310,State St & Smith St,40.68926942,-73.98912867,15656,Subscriber,1983,2,2019-12-15 00:00:00.000,12:00:23.8750,2019-12-15 00:00:00.000,12:37:02.0770,37,journey,36,Sunday
2019-12-15 12:00:23.987,581,2019-12-15 12:00:23.987,2019-12-15 12:10:05.679,3065,Union Ave & Wallabout St,40.70029511,-73.95032283,3648,Flushing Ave & Vanderbilt Ave,40.69795031569544,-73.97077560424805,41335,Subscriber,1981,1,2019-12-15 00:00:00.000,12:00:23.9870,2019-12-15 00:00:00.000,12:10:05.6790,10,journey,38,Sunday
2019-12-15 12:00:24.331,411,2019-12-15 12:00:24.331,2019-12-15 12:07:16.121,3368,5 Ave & 3 St,40.672815500000006,-73.98352355,3407,Union St & Nevins St,40.67909799721684,-73.98765474557877,15294,Subscriber,1993,2,2019-12-15 00:00:00.000,12:00:24.3310,2019-12-15 00:00:00.000,12:07:16.1210,7,journey,26,Sunday
2019-12-15 12:00:29.442,817,2019-12-15 12:00:29.442,2019-12-15 12:14:06.713,3788,E 12 St & 4 Av,40.732690000000005,-73.98974,361,Allen St & Hester St,40.71605866,-73.99190759,34045,Subscriber,1999,1,2019-12-15 00:00:00.000,12:00:29.4420,2019-12-15 00:00:00.000,12:14:06.7130,14,journey,20,Sunday
