starttime,tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,start_date,start_time,end_date,end_time,tripduration_minutes,ride_type,age,start_weekday
2019-12-15 04:00:16.648,1353,2019-12-15 04:00:16.648,2019-12-15 04:22:49.683,474,5 Ave & E 29 St,40.7451677,-73.98683077,3435,Grand St & Elizabeth St,40.718821999999996,-73.99596,27415,Subscriber,1995,1,2019-12-15 00:00:00.000,04:00:16.6480,2019-12-15 00:00:00.000,04:22:49.6830,23,journey,24,Sunday
2019-12-15 04:00:21.379,268,2019-12-15 04:00:21.379,2019-12-15 04:04:50.246,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,439,E 4 St & 2 Ave,40.726280700000004,-73.98978041,34196,Subscriber,1983,1,2019-12-15 00:00:00.000,04:00:21.3790,2019-12-15 00:00:00.000,04:04:50.2460,4,journey,36,Sunday
2019-12-15 04:00:30.342,250,2019-12-15 04:00:30.342,2019-12-15 04:04:40.726,313,Washington Ave & Park Ave,40.69610226,-73.96751037,419,Carlton Ave & Park Ave,40.69580705,-73.97355569,28479,Subscriber,1965,1,2019-12-15 00:00:00.000,04:00:30.3420,2019-12-15 00:00:00.000,04:04:40.7260,4,journey,54,Sunday
2019-12-15 04:00:37.149,234,2019-12-15 04:00:37.149,2019-12-15 04:04:31.303,467,Dean St & 4 Ave,40.68312489,-73.97895137,3420,Douglass St & 3 Ave,40.6802133,-73.98432695,27460,Subscriber,1994,1,2019-12-15 00:00:00.000,04:00:37.1490,2019-12-15 00:00:00.000,04:04:31.3030,4,journey,25,Sunday
2019-12-15 04:00:54.884,212,2019-12-15 04:00:54.884,2019-12-15 04:04:27.356,400,Pitt St & Stanton St,40.71926081,-73.98178024,502,Henry St & Grand St,40.714211,-73.981095,40875,Subscriber,1985,1,2019-12-15 00:00:00.000,04:00:54.8840,2019-12-15 00:00:00.000,04:04:27.3560,4,journey,34,Sunday
2019-12-15 04:00:59.259,1011,2019-12-15 04:00:59.259,2019-12-15 04:17:50.475,362,Broadway & W 37 St,40.75172632,-73.98753523,3259,9 Ave & W 28 St,40.74937024193277,-73.99923384189607,28616,Subscriber,1968,1,2019-12-15 00:00:00.000,04:00:59.2590,2019-12-15 00:00:00.000,04:17:50.4750,17,journey,51,Sunday
2019-12-15 04:01:44.477,96,2019-12-15 04:01:44.477,2019-12-15 04:03:21.032,296,Division St & Bowery (old),40.71413089,-73.99704679999999,82,St James Pl & Pearl St,40.71117416,-74.00016545,35109,Subscriber,1975,0,2019-12-15 00:00:00.000,04:01:44.4770,2019-12-15 00:00:00.000,04:03:21.0320,2,journey,44,Sunday
2019-12-15 04:01:57.907,1877,2019-12-15 04:01:57.907,2019-12-15 04:33:14.938,3887,Flushing Ave & Woodward Ave,40.71246,-73.91873000000001,436,Hancock St & Bedford Ave,40.68216564,-73.95399026,15253,Customer,1990,2,2019-12-15 00:00:00.000,04:01:57.9070,2019-12-15 00:00:00.000,04:33:14.9380,31,journey,29,Sunday
2019-12-15 04:02:02.640,2126,2019-12-15 04:02:02.640,2019-12-15 04:37:29.313,514,12 Ave & W 40 St,40.76087502,-74.00277668,3881,12 Ave & W 125 St,40.818298999999996,-73.96040500000001,35232,Subscriber,1969,0,2019-12-15 00:00:00.000,04:02:02.6400,2019-12-15 00:00:00.000,04:37:29.3130,35,journey,50,Sunday
2019-12-15 04:02:21.216,396,2019-12-15 04:02:21.216,2019-12-15 04:08:57.742,442,W 27 St & 7 Ave,40.746646999999996,-73.993915,3236,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643187,28977,Subscriber,1997,1,2019-12-15 00:00:00.000,04:02:21.2160,2019-12-15 00:00:00.000,04:08:57.7420,7,journey,22,Sunday
2019-12-15 04:02:39.456,2497,2019-12-15 04:02:39.456,2019-12-15 04:44:17.259,228,E 48 St & 3 Ave,40.7546011026,-73.971878855,305,E 58 St & 3 Ave,40.76095756,-73.96724467,40870,Subscriber,1980,1,2019-12-15 00:00:00.000,04:02:39.4560,2019-12-15 00:00:00.000,04:44:17.2590,42,journey,39,Sunday
2019-12-15 04:02:44.275,462,2019-12-15 04:02:44.275,2019-12-15 04:10:26.827,3259,9 Ave & W 28 St,40.74937024193277,-73.99923384189607,546,E 30 St & Park Ave S,40.74444921,-73.98303529,41851,Subscriber,1983,1,2019-12-15 00:00:00.000,04:02:44.2750,2019-12-15 00:00:00.000,04:10:26.8270,8,journey,36,Sunday
2019-12-15 04:03:40.131,1553,2019-12-15 04:03:40.131,2019-12-15 04:29:34.032,3850,Jefferson St & Cypress Ave,40.709070000000004,-73.92156999999999,3469,India St & West St,40.73181401720966,-73.95995020866394,20935,Subscriber,1989,1,2019-12-15 00:00:00.000,04:03:40.1310,2019-12-15 00:00:00.000,04:29:34.0320,26,journey,30,Sunday
