starttime,tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,start_date,start_time,end_date,end_time,tripduration_minutes,ride_type,age,start_weekday
2019-12-16 20:00:00.957,528,2019-12-16 20:00:00.957,2019-12-16 20:08:49.000,3809,W 55 St & 6 Ave,40.763189000000004,-73.978434,478,11 Ave & W 41 St,40.76030096,-73.99884222,27611,Subscriber,1978,1,2019-12-16 00:00:00.000,20:00:00.9570,2019-12-16 00:00:00.000,20:08:49.0000,9,journey,41,Monday
2019-12-16 20:00:04.993,732,2019-12-16 20:00:04.993,2019-12-16 20:12:17.570,316,Fulton St & William St,40.70955958,-74.00653609,3467,W Broadway & Spring St,40.72494672359416,-74.00165855884552,35130,Subscriber,1959,1,2019-12-16 00:00:00.000,20:00:04.9930,2019-12-16 00:00:00.000,20:12:17.5700,12,journey,60,Monday
2019-12-16 20:00:09.038,421,2019-12-16 20:00:09.038,2019-12-16 20:07:10.673,435,W 21 St & 6 Ave,40.74173969,-73.99415556,3259,9 Ave & W 28 St,40.74937024193277,-73.99923384189607,40349,Subscriber,1983,1,2019-12-16 00:00:00.000,20:00:09.0380,2019-12-16 00:00:00.000,20:07:10.6730,7,journey,36,Monday
2019-12-16 20:00:09.645,664,2019-12-16 20:00:09.645,2019-12-16 20:11:14.258,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,3733,Avenue C & E 18 St,40.730563000000004,-73.973984,41857,Subscriber,1996,1,2019-12-16 00:00:00.000,20:00:09.6450,2019-12-16 00:00:00.000,20:11:14.2580,11,journey,23,Monday
2019-12-16 20:00:09.709,377,2019-12-16 20:00:09.709,2019-12-16 20:06:27.463,468,Broadway & W 56 St,40.7652654,-73.98192338,3233,E 48 St & 5 Ave,40.75724567911726,-73.97805914282799,27924,Subscriber,1967,1,2019-12-16 00:00:00.000,20:00:09.7090,2019-12-16 00:00:00.000,20:06:27.4630,6,journey,52,Monday
2019-12-16 20:00:09.806,1120,2019-12-16 20:00:09.806,2019-12-16 20:18:50.011,503,E 20 St & Park Ave,40.73827428,-73.98751968,223,W 13 St & 7 Ave,40.73781509,-73.99994661,41760,Customer,1999,1,2019-12-16 00:00:00.000,20:00:09.8060,2019-12-16 00:00:00.000,20:18:50.0110,19,journey,20,Monday
2019-12-16 20:00:11.314,450,2019-12-16 20:00:11.314,2019-12-16 20:07:41.729,254,W 11 St & 6 Ave,40.73532427,-73.99800419,293,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,39540,Subscriber,1967,2,2019-12-16 00:00:00.000,20:00:11.3140,2019-12-16 00:00:00.000,20:07:41.7290,8,journey,52,Monday
2019-12-16 20:00:13.002,1309,2019-12-16 20:00:13.002,2019-12-16 20:22:02.080,3814,E 56 St & Madison Ave,40.761573,-73.972628,465,Broadway & W 41 St,40.75513557,-73.98658032,41959,Customer,1992,1,2019-12-16 00:00:00.000,20:00:13.0020,2019-12-16 00:00:00.000,20:22:02.0800,22,journey,27,Monday
2019-12-16 20:00:14.350,141,2019-12-16 20:00:14.350,2019-12-16 20:02:35.704,3668,Leonard St & Nassau Ave,40.7239567849954,-73.94984364509583,3108,Nassau Ave & Russell St,40.725570000000005,-73.94434,38435,Subscriber,1992,1,2019-12-16 00:00:00.000,20:00:14.3500,2019-12-16 00:00:00.000,20:02:35.7040,2,journey,27,Monday
2019-12-16 20:00:14.760,397,2019-12-16 20:00:14.760,2019-12-16 20:06:52.452,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,536,1 Ave & E 30 St,40.74144387,-73.97536082,40483,Subscriber,1994,1,2019-12-16 00:00:00.000,20:00:14.7600,2019-12-16 00:00:00.000,20:06:52.4520,7,journey,25,Monday
