starttime,tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,start_date,start_time,end_date,end_time,tripduration_minutes,ride_type,age,start_weekday
2019-12-15 08:02:55.420,156,2019-12-15 08:02:55.420,2019-12-15 08:05:32.144,3329,Degraw St & Smith St,40.6829151,-73.99318208,3409,Bergen St & Smith St,40.686744299999994,-73.99063168,39057,Subscriber,1966,2,2019-12-15 00:00:00.000,08:02:55.4200,2019-12-15 00:00:00.000,08:05:32.1440,3,journey,53,Sunday
2019-12-15 08:03:06.442,769,2019-12-15 08:03:06.442,2019-12-15 08:15:55.552,500,Broadway & W 51 St,40.76228826,-73.98336183,72,W 52 St & 11 Ave,40.76727216,-73.99392888,41595,Subscriber,1990,1,2019-12-15 00:00:00.000,08:03:06.4420,2019-12-15 00:00:00.000,08:15:55.5520,13,journey,29,Sunday
2019-12-15 08:03:20.402,361,2019-12-15 08:03:20.402,2019-12-15 08:09:21.834,482,W 15 St & 7 Ave,40.73935542,-73.99931783,466,W 25 St & 6 Ave,40.74395411,-73.99144871,41463,Subscriber,1955,1,2019-12-15 00:00:00.000,08:03:20.4020,2019-12-15 00:00:00.000,08:09:21.8340,6,journey,64,Sunday
2019-12-15 08:03:25.081,1218,2019-12-15 08:03:25.081,2019-12-15 08:23:43.603,3734,E 58 St &  1 Ave (NW Corner),40.759125,-73.96265799999999,2022,E 60 St & York Ave,40.759107,-73.959223,15378,Subscriber,1983,1,2019-12-15 00:00:00.000,08:03:25.0810,2019-12-15 00:00:00.000,08:23:43.6030,20,journey,36,Sunday
2019-12-15 08:03:29.334,220,2019-12-15 08:03:29.334,2019-12-15 08:07:09.341,3760,Willoughby Ave & Wyckoff Ave,40.705614000000004,-73.92153,3761,Cedar St & Myrtle Ave,40.697842,-73.926241,35313,Subscriber,1990,1,2019-12-15 00:00:00.000,08:03:29.3340,2019-12-15 00:00:00.000,08:07:09.3410,4,journey,29,Sunday
2019-12-15 08:03:41.901,519,2019-12-15 08:03:41.901,2019-12-15 08:12:21.598,3457,E 58 St & Madison Ave,40.763025942805186,-73.97209525108337,3163,Central Park West & W 68 St,40.7734066,-73.97782542,39440,Subscriber,1976,1,2019-12-15 00:00:00.000,08:03:41.9010,2019-12-15 00:00:00.000,08:12:21.5980,9,journey,43,Sunday
2019-12-15 08:03:43.875,367,2019-12-15 08:03:43.875,2019-12-15 08:09:51.578,450,W 49 St & 8 Ave,40.76227205,-73.98788205,530,11 Ave & W 59 St,40.771496710544405,-73.99046033620834,27534,Subscriber,1990,1,2019-12-15 00:00:00.000,08:03:43.8750,2019-12-15 00:00:00.000,08:09:51.5780,6,journey,29,Sunday
2019-12-15 08:03:55.068,127,2019-12-15 08:03:55.068,2019-12-15 08:06:03.026,461,E 20 St & 2 Ave,40.73587678,-73.98205027,487,E 20 St & FDR Drive,40.73314259,-73.97573881,40084,Subscriber,1978,1,2019-12-15 00:00:00.000,08:03:55.0680,2019-12-15 00:00:00.000,08:06:03.0260,2,journey,41,Sunday
2019-12-15 08:04:00.834,453,2019-12-15 08:04:00.834,2019-12-15 08:11:34.581,342,Columbia St & Rivington St,40.71739973,-73.98016555,531,Forsyth St & Broome St,40.71893904,-73.99266288,41266,Subscriber,1980,1,2019-12-15 00:00:00.000,08:04:00.8340,2019-12-15 00:00:00.000,08:11:34.5810,8,journey,39,Sunday
2019-12-15 08:04:10.921,190,2019-12-15 08:04:10.921,2019-12-15 08:07:20.962,3718,E 11 St & Avenue B,40.727464206923926,-73.97950418293476,237,E 11 St & 2 Ave,40.73047309,-73.98672378,28799,Subscriber,1970,1,2019-12-15 00:00:00.000,08:04:10.9210,2019-12-15 00:00:00.000,08:07:20.9620,3,journey,49,Sunday
