starttime,tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,start_date,start_time,end_date,end_time,tripduration_minutes,ride_type,age,start_weekday
2019-12-16 12:00:01.952,1120,2019-12-16 12:00:01.952,2019-12-16 12:18:42.398,3515,24 Ave & 26 St,40.774591,-73.918544,3526,31 St & 23 Ave,40.7747878,-73.91255509999999,16982,Subscriber,1988,1,2019-12-16 00:00:00.000,12:00:01.9520,2019-12-16 00:00:00.000,12:18:42.3980,19,journey,31,Monday
2019-12-16 12:00:03.019,804,2019-12-16 12:00:03.019,2019-12-16 12:13:27.773,3711,E 13 St & Avenue A,40.72966729392978,-73.98067966103555,3783,Cliff St & Fulton St,40.70838,-74.00495,18757,Subscriber,1962,1,2019-12-16 00:00:00.000,12:00:03.0190,2019-12-16 00:00:00.000,12:13:27.7730,13,journey,57,Monday
2019-12-16 12:00:16.436,102,2019-12-16 12:00:16.436,2019-12-16 12:01:58.554,486,Broadway & W 29 St,40.7462009,-73.98855723,3641,Broadway & W 25 St,40.74286877312112,-73.98918628692627,20347,Subscriber,1987,2,2019-12-16 00:00:00.000,12:00:16.4360,2019-12-16 00:00:00.000,12:01:58.5540,2,journey,32,Monday
2019-12-16 12:00:17.650,154,2019-12-16 12:00:17.650,2019-12-16 12:02:51.728,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,360,William St & Pine St,40.70717936,-74.00887308,28091,Subscriber,1981,1,2019-12-16 00:00:00.000,12:00:17.6500,2019-12-16 00:00:00.000,12:02:51.7280,3,journey,38,Monday
2019-12-16 12:00:17.920,359,2019-12-16 12:00:17.920,2019-12-16 12:06:17.229,3383,Cathedral Pkwy & Broadway,40.804213,-73.96699104,3323,W 106 St & Central Park West,40.798185600000004,-73.96059090060001,32718,Subscriber,1985,1,2019-12-16 00:00:00.000,12:00:17.9200,2019-12-16 00:00:00.000,12:06:17.2290,6,journey,34,Monday
2019-12-16 12:00:19.516,830,2019-12-16 12:00:19.516,2019-12-16 12:14:09.731,3142,1 Ave & E 62 St,40.761227399999996,-73.96094022,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,15152,Subscriber,1959,2,2019-12-16 00:00:00.000,12:00:19.5160,2019-12-16 00:00:00.000,12:14:09.7310,14,journey,60,Monday
2019-12-16 12:00:20.355,1202,2019-12-16 12:00:20.355,2019-12-16 12:20:23.127,3085,Roebling St & N 4 St,40.714690000000004,-73.95739,313,Washington Ave & Park Ave,40.69610226,-73.96751037,28225,Subscriber,1993,1,2019-12-16 00:00:00.000,12:00:20.3550,2019-12-16 00:00:00.000,12:20:23.1270,20,journey,26,Monday
2019-12-16 12:00:21.748,1422,2019-12-16 12:00:21.748,2019-12-16 12:24:03.972,514,12 Ave & W 40 St,40.76087502,-74.00277668,417,Barclay St & Church St,40.71291224,-74.01020234,29116,Customer,1995,1,2019-12-16 00:00:00.000,12:00:21.7480,2019-12-16 00:00:00.000,12:24:03.9720,24,journey,24,Monday
2019-12-16 12:00:22.287,242,2019-12-16 12:00:22.287,2019-12-16 12:04:24.336,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,3755,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,38109,Subscriber,1989,1,2019-12-16 00:00:00.000,12:00:22.2870,2019-12-16 00:00:00.000,12:04:24.3360,4,journey,30,Monday
2019-12-16 12:00:28.780,483,2019-12-16 12:00:28.780,2019-12-16 12:08:32.485,486,Broadway & W 29 St,40.7462009,-73.98855723,470,W 20 St & 8 Ave,40.74345335,-74.00004031,35379,Subscriber,1983,1,2019-12-16 00:00:00.000,12:00:28.7800,2019-12-16 00:00:00.000,12:08:32.4850,8,journey,36,Monday
2019-12-16 12:00:33.777,2904,2019-12-16 12:00:33.777,2019-12-16 12:48:58.535,514,12 Ave & W 40 St,40.76087502,-74.00277668,3163,Central Park West & W 68 St,40.7734066,-73.97782542,28093,Customer,1970,2,2019-12-16 00:00:00.000,12:00:33.7770,2019-12-16 00:00:00.000,12:48:58.5350,48,journey,49,Monday
